gene_name	source
RNF111	LINX
RNF43	LINX
ROS1	LINX
RP11-417J8.3	LINX
RPL10	LINX
RPL22	LINX
RPL5	LINX
RPS6KA3	LINX
RSF1	LINX
RUNX1	LINX
RXRA	LINX
RYR1	LINX
SAV1	LINX
SEMG2	LINX
SETBP1	LINX
SETD2	LINX
SF3B1	LINX
SGCZ	LINX
SIX2	LINX
SLCO1B1	LINX
SMAD2	LINX
SMAD3	LINX
SMAD4	LINX
SMARCA1	LINX
SMARCA4	LINX
SMARCB1	LINX
SMARCD1	LINX
SMC3	LINX
SMO	LINX
SMTNL2	LINX
SOX4	LINX
SOX9	LINX
SPATA31A7	LINX
SPEN	LINX
SPOP	LINX
SPRED1	LINX
SPTAN1	LINX
SRC	LINX
SRSF2	LINX
STAG2	LINX
STAT3	LINX
STAT5B	LINX
STK11	LINX
STS	LINX
SUFU	LINX
TBL1XR1	LINX
TBX3	LINX
TCF12	LINX
TCF7L2	LINX
TENM1	LINX
TERT	LINX
TET2	LINX
TG	LINX
TGFBR2	LINX
TGIF1	LINX
TMEM30A	LINX
TMPRSS2	LINX
TNFAIP3	LINX
TNFRSF14	LINX
TOP1	LINX
TOP2A	LINX
TP53	LINX
TP63	LINX
TPMT	LINX
TRAF7	LINX
TRIM51	LINX
TSC1	LINX
TSC2	LINX
TYMS	LINX
U2AF1	LINX
UBR5	LINX
USP22	LINX
USP28	LINX
USP32	LINX
USP8	LINX
VEGFA	LINX
VHL	LINX
WT1	LINX
WWC3	LINX
WWOX	LINX
XPO1	LINX
XRCC1	LINX
ZBTB10	LINX
ZBTB20	LINX
ZBTB7B	LINX
ZFHX3	LINX
ZFP36L1	LINX
ZFP36L2	LINX
ZFX	LINX
ZIM3	LINX
ZMIZ1	LINX
ZMYM3	LINX
ZNF217	LINX
ZNF521	LINX
ZNF703	LINX
ZNF750	LINX
ZNRF3	LINX
ABCB1	"CHORD paper, CGI"
ABCB4	"CHORD paper, CGI"
ABL1	"CHORD paper, CGI"
ABL2	"CHORD paper, CGI"
ACAD8	"CHORD paper, CGI"
ACO1	"CHORD paper, CGI"
ACSL3	"CHORD paper, CGI"
ACSL6	"CHORD paper, CGI"
ACTB	"CHORD paper, CGI"
ACTG1	"CHORD paper, CGI"
ACTG2	"CHORD paper, CGI"
ACVR1	"CHORD paper, CGI"
ACVR1B	"CHORD paper, CGI"
ACVR2A	"CHORD paper, CGI"
ADAM10	"CHORD paper, CGI"
ADCY1	"CHORD paper, CGI"
AFF4	"CHORD paper, CGI"
AGO3	"CHORD paper, CGI"
AHCTF1	"CHORD paper, CGI"
AHR	"CHORD paper, CGI"
AKAP9	"CHORD paper, CGI"
AKT1	"CHORD paper, CGI"
AKT2	"CHORD paper, CGI"
ALK	"CHORD paper, CGI"
AMER1	"CHORD paper, CGI"
ANK3	"CHORD paper, CGI"
ANKRD11	"CHORD paper, CGI"
APAF1	"CHORD paper, CGI"
APC	"CHORD paper, CGI"
APITD1	"CHORD paper, CGI"
AQR	"CHORD paper, CGI"
AR	"CHORD paper, CGI"
ARAF	"CHORD paper, CGI"
ARAP3	"CHORD paper, CGI"
ARFGAP1	"CHORD paper, CGI"
ARFGAP3	"CHORD paper, CGI"
ARFGEF1	"CHORD paper, CGI"
ARFGEF2	"CHORD paper, CGI"
ARHGAP26	"CHORD paper, CGI"
ARHGAP29	"CHORD paper, CGI"
ARHGAP35	"CHORD paper, CGI"
ARHGEF12	"CHORD paper, CGI"
ARHGEF2	"CHORD paper, CGI"
ARHGEF6	"CHORD paper, CGI"
ARID1A	"CHORD paper, CGI"
ARID1B	"CHORD paper, CGI"
ARID2	"CHORD paper, CGI"
ARID4A	"CHORD paper, CGI"
ARID4B	"CHORD paper, CGI"
ARID5B	"CHORD paper, CGI"
ARNT	"CHORD paper, CGI"
ARNTL	"CHORD paper, CGI"
ASH1L	"CHORD paper, CGI"
ASPM	"CHORD paper, CGI"
ASPSCR1	"CHORD paper, CGI"
ASXL1	"CHORD paper, CGI"
ATF1	"CHORD paper, CGI"
ATF2	"CHORD paper, CGI"
ATIC	"CHORD paper, CGI"
ATM	"CHORD paper, CGI"
ATP1A1	"CHORD paper, CGI"
ATP6AP2	"CHORD paper, CGI"
ATR	"CHORD paper, CGI"
ATRX	"CHORD paper, CGI"
AURKA	"CHORD paper, CGI"
AXIN1	"CHORD paper, CGI"
AXIN2	"CHORD paper, CGI"
B2M	"CHORD paper, CGI"
BABAM1	"CHORD paper, CGI"
BAP1	"CHORD paper, CGI"
BARD1	"CHORD paper, CGI"
BAX	"CHORD paper, CGI"
BAZ2B	"CHORD paper, CGI"
BCL10	"CHORD paper, CGI"
BCL11A	"CHORD paper, CGI"
BCL11B	"CHORD paper, CGI"
BCL2	"CHORD paper, CGI"
BCL3	"CHORD paper, CGI"
BCL6	"CHORD paper, CGI"
BCL7A	"CHORD paper, CGI"
BCL9	"CHORD paper, CGI"
BCLAF1	"CHORD paper, CGI"
BCOR	"CHORD paper, CGI"
BCR	"CHORD paper, CGI"
BIRC3	"CHORD paper, CGI"
BLM	"CHORD paper, CGI"
BMPR1A	"CHORD paper, CGI"
BMPR2	"CHORD paper, CGI"
BPTF	"CHORD paper, CGI"
BRAF	"CHORD paper, CGI"
BRCA1	"CHORD paper, CGI"
BRCA2	"CHORD paper, CGI"
BRCC3	"CHORD paper, CGI"
BRD2	"CHORD paper, CGI"
BRD3	"CHORD paper, CGI"
BRD4	"CHORD paper, CGI"
BRE	"CHORD paper, CGI"
BRIP1	"CHORD paper, CGI"
BRWD1	"CHORD paper, CGI"
BTK	"CHORD paper, CGI"
BUB1B	"CHORD paper, CGI"
C17orf70	"CHORD paper, CGI"
C19orf40	"CHORD paper, CGI"
CAD	"CHORD paper, CGI"
CALR	"CHORD paper, CGI"
CANT1	"CHORD paper, CGI"
CAPN7	"CHORD paper, CGI"
CARD11	"CHORD paper, CGI"
CARM1	"CHORD paper, CGI"
CASP1	"CHORD paper, CGI"
CASP10	"CHORD paper, CGI"
CASP8	"CHORD paper, CGI"
CAT	"CHORD paper, CGI"
CBFB	"CHORD paper, CGI"
CBL	"CHORD paper, CGI"
CBLB	"CHORD paper, CGI"
CBLC	"CHORD paper, CGI"
CCAR1	"CHORD paper, CGI"
CCND1	"CHORD paper, CGI"
CCND2	"CHORD paper, CGI"
CCND3	"CHORD paper, CGI"
CCNE1	"CHORD paper, CGI"
CCT5	"CHORD paper, CGI"
CD274	"CHORD paper, CGI"
CD36	"CHORD paper, CGI"
CD79A	"CHORD paper, CGI"
