gene_name	source
PIK3CB	"CHORD paper, CGI"
PIK3CD	"CHORD paper, CGI"
PIK3R1	"CHORD paper, CGI"
PIK3R2	"CHORD paper, CGI"
PIK3R3	"CHORD paper, CGI"
PIP5K1A	"CHORD paper, CGI"
PLAG1	"CHORD paper, CGI"
PLCG1	"CHORD paper, CGI"
PLCG2	"CHORD paper, CGI"
PLXNA1	"CHORD paper, CGI"
PLXNB2	"CHORD paper, CGI"
PMS1	"CHORD paper, CGI"
PMS2	"CHORD paper, CGI"
POLE	"CHORD paper, CGI"
POLR2B	"CHORD paper, CGI"
POM121	"CHORD paper, CGI"
POT1	"CHORD paper, CGI"
PPARG	"CHORD paper, CGI"
PPM1D	"CHORD paper, CGI"
PPP2R1A	"CHORD paper, CGI"
PPP2R5A	"CHORD paper, CGI"
PPP2R5C	"CHORD paper, CGI"
PPP6C	"CHORD paper, CGI"
PRCC	"CHORD paper, CGI"
PRDM1	"CHORD paper, CGI"
PRF1	"CHORD paper, CGI"
PRKAA1	"CHORD paper, CGI"
PRKAR1A	"CHORD paper, CGI"
PRKCZ	"CHORD paper, CGI"
PRPF8	"CHORD paper, CGI"
PRRX1	"CHORD paper, CGI"
PSIP1	"CHORD paper, CGI"
PSMA2	"CHORD paper, CGI"
PSMA6	"CHORD paper, CGI"
PSMB4	"CHORD paper, CGI"
PSMB5	"CHORD paper, CGI"
PSMD11	"CHORD paper, CGI"
PSME3	"CHORD paper, CGI"
PSMG1	"CHORD paper, CGI"
PSMG2	"CHORD paper, CGI"
PTCH1	"CHORD paper, CGI"
PTEN	"CHORD paper, CGI"
PTGS1	"CHORD paper, CGI"
PTPN11	"CHORD paper, CGI"
PTPN12	"CHORD paper, CGI"
PTPRB	"CHORD paper, CGI"
PTPRC	"CHORD paper, CGI"
PTPRF	"CHORD paper, CGI"
PTPRJ	"CHORD paper, CGI"
PTPRN2	"CHORD paper, CGI"
PTPRU	"CHORD paper, CGI"
RAC1	"CHORD paper, CGI"
RAD21	"CHORD paper, CGI"
RAD23B	"CHORD paper, CGI"
RAD50	"CHORD paper, CGI"
RAD51	"CHORD paper, CGI"
RAD51B	"CHORD paper, CGI"
RAD51C	"CHORD paper, CGI"
RAD51D	"CHORD paper, CGI"
RAD52	"CHORD paper, CGI"
RAD54B	"CHORD paper, CGI"
RAD54L	"CHORD paper, CGI"
RAF1	"CHORD paper, CGI"
RALGDS	"CHORD paper, CGI"
RASA1	"CHORD paper, CGI"
RASA2	"CHORD paper, CGI"
RASGRP1	"CHORD paper, CGI"
RB1	"CHORD paper, CGI"
RBBP7	"CHORD paper, CGI"
RBBP8	"CHORD paper, CGI"
RBM10	"CHORD paper, CGI"
RBM5	"CHORD paper, CGI"
RBX1	"CHORD paper, CGI"
RECQL4	"CHORD paper, CGI"
REL	"CHORD paper, CGI"
RET	"CHORD paper, CGI"
RFC4	"CHORD paper, CGI"
RGS3	"CHORD paper, CGI"
RHEB	"CHORD paper, CGI"
RHOA	"CHORD paper, CGI"
RHOT1	"CHORD paper, CGI"
RICTOR	"CHORD paper, CGI"
RNF213	"CHORD paper, CGI"
RNF43	"CHORD paper, CGI"
RNF6	"CHORD paper, CGI"
ROS1	"CHORD paper, CGI"
RPA1	"CHORD paper, CGI"
RPA2	"CHORD paper, CGI"
RPGR	"CHORD paper, CGI"
RPL10	"CHORD paper, CGI"
RPL22	"CHORD paper, CGI"
RPL5	"CHORD paper, CGI"
RPN1	"CHORD paper, CGI"
RPSAP56	"CHORD paper, CGI"
RQCD1	"CHORD paper, CGI"
RRAS2	"CHORD paper, CGI"
RTN4	"CHORD paper, CGI"
RUNX1	"CHORD paper, CGI"
RUNX3	"CHORD paper, CGI"
SBDS	"CHORD paper, CGI"
SCAI	"CHORD paper, CGI"
SDHA	"CHORD paper, CGI"
SDHAF2	"CHORD paper, CGI"
SDHB	"CHORD paper, CGI"
SDHC	"CHORD paper, CGI"
SDHD	"CHORD paper, CGI"
SEC24D	"CHORD paper, CGI"
SEC31A	"CHORD paper, CGI"
SET	"CHORD paper, CGI"
SETBP1	"CHORD paper, CGI"
SETD2	"CHORD paper, CGI"
SETDB1	"CHORD paper, CGI"
SF3A3	"CHORD paper, CGI"
SF3B1	"CHORD paper, CGI"
SF3B3	"CHORD paper, CGI"
SFPQ	"CHORD paper, CGI"
SGK1	"CHORD paper, CGI"
SH2B3	"CHORD paper, CGI"
SHFM1	"CHORD paper, CGI"
SHMT1	"CHORD paper, CGI"
SIN3A	"CHORD paper, CGI"
SLC22A18	"CHORD paper, CGI"
SLX4	"CHORD paper, CGI"
SMAD2	"CHORD paper, CGI"
SMAD3	"CHORD paper, CGI"
SMAD4	"CHORD paper, CGI"
SMARCA1	"CHORD paper, CGI"
SMARCA4	"CHORD paper, CGI"
SMARCB1	"CHORD paper, CGI"
SMARCD1	"CHORD paper, CGI"
SMARCE1	"CHORD paper, CGI"
SMC1A	"CHORD paper, CGI"
SMO	"CHORD paper, CGI"
SMURF2	"CHORD paper, CGI"
SOCS1	"CHORD paper, CGI"
SOS1	"CHORD paper, CGI"
SOS2	"CHORD paper, CGI"
SOX17	"CHORD paper, CGI"
SOX2	"CHORD paper, CGI"
SOX9	"CHORD paper, CGI"
SPEN	"CHORD paper, CGI"
SPOP	"CHORD paper, CGI"
SPRR3	"CHORD paper, CGI"
SPTAN1	"CHORD paper, CGI"
SRC	"CHORD paper, CGI"
SRGAP1	"CHORD paper, CGI"
SRGAP3	"CHORD paper, CGI"
SRSF2	"CHORD paper, CGI"
SS18L1	"CHORD paper, CGI"
STAG1	"CHORD paper, CGI"
STAG2	"CHORD paper, CGI"
STARD13	"CHORD paper, CGI"
STAT3	"CHORD paper, CGI"
STAT5B	"CHORD paper, CGI"
STAT6	"CHORD paper, CGI"
STIP1	"CHORD paper, CGI"
STK11	"CHORD paper, CGI"
STK4	"CHORD paper, CGI"
STRA13	"CHORD paper, CGI"
SUFU	"CHORD paper, CGI"
SUV39H1	"CHORD paper, CGI"
SUZ12	"CHORD paper, CGI"
SVEP1	"CHORD paper, CGI"
SYK	"CHORD paper, CGI"
SYNCRIP	"CHORD paper, CGI"
TAF1	"CHORD paper, CGI"
TAL2	"CHORD paper, CGI"
TAOK1	"CHORD paper, CGI"
TAOK2	"CHORD paper, CGI"
TBL1XR1	"CHORD paper, CGI"
TBX3	"CHORD paper, CGI"
TCEA1	"CHORD paper, CGI"
TCF12	"CHORD paper, CGI"
TCF4	"CHORD paper, CGI"
TCF7L2	"CHORD paper, CGI"
TERT	"CHORD paper, CGI"
TET2	"CHORD paper, CGI"
TFDP1	"CHORD paper, CGI"
TFDP2	"CHORD paper, CGI"
TFE3	"CHORD paper, CGI"
TFEB	"CHORD paper, CGI"
TFPT	"CHORD paper, CGI"
TFRC	"CHORD paper, CGI"
TGFBR1	"CHORD paper, CGI"
TGFBR2	"CHORD paper, CGI"
THRAP3	"CHORD paper, CGI"
TJP1	"CHORD paper, CGI"
TJP2	"CHORD paper, CGI"
TMEM127	"CHORD paper, CGI"
TNFAIP3	"CHORD paper, CGI"
TNFRSF14	"CHORD paper, CGI"
TNFSF10	"CHORD paper, CGI"
TNPO1	"CHORD paper, CGI"
TNPO2	"CHORD paper, CGI"
TOM1	"CHORD paper, CGI"
TOPBP1	"CHORD paper, CGI"
TP53	"CHORD paper, CGI"
TP53BP1	"CHORD paper, CGI"
TPM3	"CHORD paper, CGI"
TPMT	"CHORD paper, CGI"
TRAF3	"CHORD paper, CGI"
TRAF5	"CHORD paper, CGI"
TRAF7	"CHORD paper, CGI"
TRERF1	"CHORD paper, CGI"
TRIM24	"CHORD paper, CGI"
TRIO	"CHORD paper, CGI"
TRIP10	"CHORD paper, CGI"
TRRAP	"CHORD paper, CGI"
TSC1	"CHORD paper, CGI"
TSC2	"CHORD paper, CGI"
TSHR	"CHORD paper, CGI"
U2AF1	"CHORD paper, CGI"
UBC	"CHORD paper, CGI"
UBE2T	"CHORD paper, CGI"
UBR5	"CHORD paper, CGI"
UGT1A8	"CHORD paper, CGI"
UIMC1	"CHORD paper, CGI"
UPF3B	"CHORD paper, CGI"
USP6	"CHORD paper, CGI"
VHL	"CHORD paper, CGI"
VIM	"CHORD paper, CGI"
WAS	"CHORD paper, CGI"
WASF3	"CHORD paper, CGI"
WHSC1	"CHORD paper, CGI"
WHSC1L1	"CHORD paper, CGI"
WIPF1	"CHORD paper, CGI"
WNK1	"CHORD paper, CGI"
WNT5A	"CHORD paper, CGI"
WRAP53	"CHORD paper, CGI"
WRN	"CHORD paper, CGI"
WT1	"CHORD paper, CGI"
WWOX	"CHORD paper, CGI"
XPA	"CHORD paper, CGI"
XPC	"CHORD paper, CGI"
XPO1	"CHORD paper, CGI"
XRCC2	"CHORD paper, CGI"
XRCC3	"CHORD paper, CGI"
XRN1	"CHORD paper, CGI"
YBX1	"CHORD paper, CGI"
YBX3	"CHORD paper, CGI"
ZC3H11A	"CHORD paper, CGI"
ZFHX3	"CHORD paper, CGI"
ZFP36L1	"CHORD paper, CGI"
ZFP36L2	"CHORD paper, CGI"
ZMYM2	"CHORD paper, CGI"
ZNF292	"CHORD paper, CGI"
ZNF331	"CHORD paper, CGI"
ZNF521	"CHORD paper, CGI"
ZNF638	"CHORD paper, CGI"
ZNF750	"CHORD paper, CGI"
ZNF814	"CHORD paper, CGI"
ZNRF3	"CHORD paper, CGI"
ZRSR2	"CHORD paper, CGI"
A1CF	COSMIC
ABI1	COSMIC
ABL1	COSMIC
ABL2	COSMIC
ACKR3	COSMIC
ACSL3	COSMIC
ACSL6	COSMIC
ACVR1	COSMIC
ACVR2A	COSMIC
AFF1	COSMIC
AFF3	COSMIC
AFF4	COSMIC
AKAP9	COSMIC
AKT1	COSMIC
AKT2	COSMIC
AKT3	COSMIC
ALDH2	COSMIC
ALK	COSMIC
AMER1	COSMIC
ANK1	COSMIC
APC	COSMIC
APOBEC3B	COSMIC
AR	COSMIC
ARAF	COSMIC
ARHGAP26	COSMIC
ARHGAP5	COSMIC
ARHGEF10	COSMIC
ARHGEF10L	COSMIC
ARHGEF12	COSMIC
ARID1A	COSMIC
ARID1B	COSMIC
ARID2	COSMIC
ARNT	COSMIC
ASPSCR1	COSMIC
ASXL1	COSMIC
ASXL2	COSMIC
ATF1	COSMIC
ATIC	COSMIC
ATM	COSMIC
ATP1A1	COSMIC
ATP2B3	COSMIC
ATR	COSMIC
ATRX	COSMIC
AXIN1	COSMIC
AXIN2	COSMIC
B2M	COSMIC
BAP1	COSMIC
BARD1	COSMIC
BAX	COSMIC
BAZ1A	COSMIC
BCL10	COSMIC
BCL11A	COSMIC
BCL11B	COSMIC
BCL2	COSMIC
BCL2L12	COSMIC
BCL3	COSMIC
BCL6	COSMIC
BCL7A	COSMIC
BCL9	COSMIC
BCL9L	COSMIC
BCLAF1	COSMIC
BCOR	COSMIC
BCORL1	COSMIC
BCR	COSMIC
BIRC3	COSMIC
BIRC6	COSMIC
BLM	COSMIC
BMP5	COSMIC
BMPR1A	COSMIC
BRAF	COSMIC
BRCA1	COSMIC
BRCA2	COSMIC
BRD3	COSMIC
BRD4	COSMIC
BRIP1	COSMIC
BTG1	COSMIC
BTK	COSMIC
BUB1B	COSMIC
C15orf65	COSMIC
C2orf44	COSMIC
CACNA1D	COSMIC
CALR	COSMIC
CAMTA1	COSMIC
CANT1	COSMIC
CARD11	COSMIC
CARS	COSMIC
CASC5	COSMIC
CASP3	COSMIC
CASP8	COSMIC
CASP9	COSMIC
CBFA2T3	COSMIC
CBFB	COSMIC
CBL	COSMIC
CBLB	COSMIC
CBLC	COSMIC
CCDC6	COSMIC
CCNB1IP1	COSMIC
CCNC	COSMIC
CCND1	COSMIC
CCND2	COSMIC
CCND3	COSMIC
CCNE1	COSMIC
CCR4	COSMIC
CCR7	COSMIC
CD209	COSMIC
CD274	COSMIC
CD28	COSMIC
CD74	COSMIC
CD79A	COSMIC
CD79B	COSMIC
CDC73	COSMIC
CDH1	COSMIC
CDH10	COSMIC
CDH11	COSMIC
CDH17	COSMIC
CDK12	COSMIC
CDK4	COSMIC
CDK6	COSMIC
CDKN1A	COSMIC
CDKN1B	COSMIC
CDKN2A	COSMIC
CDKN2C	COSMIC
CDX2	COSMIC
CEBPA	COSMIC
CEP89	COSMIC
CHCHD7	COSMIC
CHD2	COSMIC
CHD4	COSMIC
CHEK2	COSMIC
CHIC2	COSMIC
CHST11	COSMIC
CIC	COSMIC
CIITA	COSMIC
CLIP1	COSMIC
CLP1	COSMIC
CLTC	COSMIC
CLTCL1	COSMIC
CNBD1	COSMIC
CNBP	COSMIC
CNOT3	COSMIC
CNTNAP2	COSMIC
CNTRL	COSMIC
COL1A1	COSMIC
COL2A1	COSMIC
COL3A1	COSMIC
COX6C	COSMIC
CPEB3	COSMIC
CREB1	COSMIC
CREB3L1	COSMIC
CREB3L2	COSMIC
CREBBP	COSMIC
CRLF2	COSMIC
CRNKL1	COSMIC
CRTC1	COSMIC
CRTC3	COSMIC
CSF1R	COSMIC
CSF3R	COSMIC
CSMD3	COSMIC
CTCF	COSMIC
CTNNA2	COSMIC
CTNNB1	COSMIC
CTNND1	COSMIC
CTNND2	COSMIC
CUL3	COSMIC
CUX1	COSMIC
CXCR4	COSMIC
CYLD	COSMIC
CYP2C8	COSMIC
CYSLTR2	COSMIC
DAXX	COSMIC
DCAF12L2	COSMIC
DCC	COSMIC
DCTN1	COSMIC
DDB2	COSMIC
DDIT3	COSMIC
DDR2	COSMIC
DDX10	COSMIC
DDX3X	COSMIC
DDX5	COSMIC
DDX6	COSMIC
DEK	COSMIC
DGCR8	COSMIC
DICER1	COSMIC
DNAJB1	COSMIC
DNM2	COSMIC
DNMT3A	COSMIC
DROSHA	COSMIC
EBF1	COSMIC
ECT2L	COSMIC
EED	COSMIC
EGFR	COSMIC
EIF1AX	COSMIC
EIF3E	COSMIC
EIF4A2	COSMIC
ELF3	COSMIC
ELF4	COSMIC
ELK4	COSMIC
ELL	COSMIC
ELN	COSMIC
EML4	COSMIC
EP300	COSMIC
EPAS1	COSMIC
EPHA3	COSMIC
EPHA7	COSMIC
EPS15	COSMIC
ERBB2	COSMIC
ERBB3	COSMIC
ERBB4	COSMIC
ERC1	COSMIC
ERCC2	COSMIC
ERCC3	COSMIC
ERCC4	COSMIC
ERCC5	COSMIC
ERG	COSMIC
ESR1	COSMIC
ETNK1	COSMIC
ETV1	COSMIC
ETV4	COSMIC
ETV5	COSMIC
ETV6	COSMIC
EWSR1	COSMIC
EXT1	COSMIC
EXT2	COSMIC
EZH2	COSMIC
EZR	COSMIC
FAM131B	COSMIC
FAM135B	COSMIC
FAM46C	COSMIC
FAM47C	COSMIC
FANCA	COSMIC
FANCC	COSMIC
FANCD2	COSMIC
FANCE	COSMIC
FANCF	COSMIC
FANCG	COSMIC
FAS	COSMIC
FAT1	COSMIC
FAT3	COSMIC
FAT4	COSMIC
FBLN2	COSMIC
FBXO11	COSMIC
FBXW7	COSMIC
FCGR2B	COSMIC
FCRL4	COSMIC
FEN1	COSMIC
FES	COSMIC
FEV	COSMIC
FGFR1	COSMIC
FGFR1OP	COSMIC
FGFR2	COSMIC
FGFR3	COSMIC
FGFR4	COSMIC
FH	COSMIC
FHIT	COSMIC
FIP1L1	COSMIC
FKBP9	COSMIC
FLCN	COSMIC
FLI1	COSMIC
FLNA	COSMIC
FLT3	COSMIC
FLT4	COSMIC
FNBP1	COSMIC
FOXA1	COSMIC
FOXL2	COSMIC
FOXO1	COSMIC
FOXO3	COSMIC
FOXO4	COSMIC
FOXP1	COSMIC
FOXR1	COSMIC
FSTL3	COSMIC
FUBP1	COSMIC
FUS	COSMIC
GAS7	COSMIC
GATA1	COSMIC
GATA2	COSMIC
GATA3	COSMIC
GLI1	COSMIC
GMPS	COSMIC
GNA11	COSMIC
GNAQ	COSMIC
GNAS	COSMIC
GOLGA5	COSMIC
GOPC	COSMIC
GPC3	COSMIC
GPC5	COSMIC
GPHN	COSMIC
GRIN2A	COSMIC
GRM3	COSMIC
H3F3A	COSMIC
H3F3B	COSMIC
HERPUD1	COSMIC
HEY1	COSMIC
HIF1A	COSMIC
HIP1	COSMIC
HLA-A	COSMIC
HLF	COSMIC
HMGA1	COSMIC
HMGA2	COSMIC
HNF1A	COSMIC
HNRNPA2B1	COSMIC
HOOK3	COSMIC
HOXA11	COSMIC
HOXA13	COSMIC
HOXA9	COSMIC
HOXC11	COSMIC
HOXC13	COSMIC
HOXD11	COSMIC
HOXD13	COSMIC
HRAS	COSMIC
HSP90AA1	COSMIC
HSP90AB1	COSMIC
ID3	COSMIC
IDH1	COSMIC
IDH2	COSMIC
IGF2BP2	COSMIC
IKBKB	COSMIC
IKZF1	COSMIC
IL2	COSMIC
IL21R	COSMIC
IL6ST	COSMIC
IL7R	COSMIC
IRF4	COSMIC
IRS4	COSMIC
ISX	COSMIC
ITGAV	COSMIC
ITK	COSMIC
JAK1	COSMIC
JAK2	COSMIC
JAK3	COSMIC
JAZF1	COSMIC
JUN	COSMIC
KAT6A	COSMIC
KAT6B	COSMIC
KAT7	COSMIC
KCNJ5	COSMIC
KDM5A	COSMIC
KDM5C	COSMIC
KDM6A	COSMIC
KDR	COSMIC
KDSR	COSMIC
KEAP1	COSMIC
KIAA1549	COSMIC
KIAA1598	COSMIC
KIF5B	COSMIC
KIT	COSMIC
KLF4	COSMIC
KLF6	COSMIC
KLK2	COSMIC
KMT2A	COSMIC
KMT2C	COSMIC
KMT2D	COSMIC
KNSTRN	COSMIC
KRAS	COSMIC
KTN1	COSMIC
LARP4B	COSMIC
LASP1	COSMIC
LATS1	COSMIC
LATS2	COSMIC
LCK	COSMIC
LCP1	COSMIC
LEF1	COSMIC
LEPROTL1	COSMIC
LHFP	COSMIC
LIFR	COSMIC
LMNA	COSMIC
LMO1	COSMIC
LMO2	COSMIC
LPP	COSMIC
LRIG3	COSMIC
LRP1B	COSMIC
LSM14A	COSMIC
LYL1	COSMIC
LZTR1	COSMIC
MACC1	COSMIC
MAF	COSMIC
MAFB	COSMIC
MALT1	COSMIC
MAML2	COSMIC
MAP2K1	COSMIC
MAP2K2	COSMIC
MAP2K4	COSMIC
MAP3K1	COSMIC
MAP3K13	COSMIC
MAPK1	COSMIC
MAX	COSMIC
MB21D2	COSMIC
MDM2	COSMIC
MDM4	COSMIC
MECOM	COSMIC
MED12	COSMIC
MEN1	COSMIC
MET	COSMIC
MGMT	COSMIC
MITF	COSMIC
MKL1	COSMIC
MLF1	COSMIC
MLH1	COSMIC
MLLT1	COSMIC
MLLT10	COSMIC
MLLT11	COSMIC
MLLT3	COSMIC
MLLT4	COSMIC
MN1	COSMIC
MNX1	COSMIC
MPL	COSMIC
MSH2	COSMIC
MSH6	COSMIC
MSI2	COSMIC
MSN	COSMIC
MTCP1	COSMIC
MTOR	COSMIC
MUC1	COSMIC
MUC16	COSMIC
MUC4	COSMIC
MUTYH	COSMIC
MYB	COSMIC
MYC	COSMIC
MYCL	COSMIC
MYCN	COSMIC
MYD88	COSMIC
MYH11	COSMIC
MYH9	COSMIC
MYO5A	COSMIC
MYOD1	COSMIC
N4BP2	COSMIC
NAB2	COSMIC
NACA	COSMIC
NBEA	COSMIC
NBN	COSMIC
NCKIPSD	COSMIC
NCOA1	COSMIC
NCOA2	COSMIC
NCOR1	COSMIC
NCOR2	COSMIC
NDRG1	COSMIC
NF1	COSMIC
NF2	COSMIC
NFATC2	COSMIC
NFE2L2	COSMIC
NFIB	COSMIC
NFKB2	COSMIC
NFKBIE	COSMIC
NIN	COSMIC
NKX2-1	COSMIC
NONO	COSMIC
NOTCH1	COSMIC
NOTCH2	COSMIC
NPM1	COSMIC
NR4A3	COSMIC
NRAS	COSMIC
NRG1	COSMIC
NSD1	COSMIC
NT5C2	COSMIC
NTHL1	COSMIC
NTRK1	COSMIC
NTRK3	COSMIC
NUMA1	COSMIC
NUP214	COSMIC
NUP98	COSMIC
NUTM1	COSMIC
NUTM2B	COSMIC
NUTM2D	COSMIC
OLIG2	COSMIC
OMD	COSMIC
P2RY8	COSMIC
PABPC1	COSMIC
PAFAH1B2	COSMIC
PALB2	COSMIC
PATZ1	COSMIC
PAX3	COSMIC
PAX5	COSMIC
PAX7	COSMIC
PAX8	COSMIC
PBRM1	COSMIC
PBX1	COSMIC
PCBP1	COSMIC
PCM1	COSMIC
PDCD1LG2	COSMIC
PDE4DIP	COSMIC
PDGFB	COSMIC
PDGFRA	COSMIC
PDGFRB	COSMIC
PER1	COSMIC
PHF6	COSMIC
PHOX2B	COSMIC
PICALM	COSMIC
PIK3CA	COSMIC
PIK3CB	COSMIC
PIK3R1	COSMIC
PIM1	COSMIC
PLAG1	COSMIC
PLCG1	COSMIC
PML	COSMIC
PMS1	COSMIC
PMS2	COSMIC
POLD1	COSMIC
POLE	COSMIC
POLG	COSMIC
POLQ	COSMIC
POT1	COSMIC
POU2AF1	COSMIC
POU5F1	COSMIC
PPARG	COSMIC
PPFIBP1	COSMIC
PPM1D	COSMIC
PPP2R1A	COSMIC
PPP6C	COSMIC
PRCC	COSMIC
PRDM1	COSMIC
PRDM16	COSMIC
PRDM2	COSMIC
PREX2	COSMIC
PRF1	COSMIC
PRKACA	COSMIC
PRKAR1A	COSMIC
PRKCB	COSMIC
PRPF40B	COSMIC
PRRX1	COSMIC
PSIP1	COSMIC
PTCH1	COSMIC
PTEN	COSMIC
PTK6	COSMIC
PTPN11	COSMIC
PTPN13	COSMIC
PTPN6	COSMIC
PTPRB	COSMIC
PTPRC	COSMIC
PTPRD	COSMIC
PTPRK	COSMIC
PTPRT	COSMIC
PWWP2A	COSMIC
QKI	COSMIC
RABEP1	COSMIC
RAC1	COSMIC
RAD17	COSMIC
RAD21	COSMIC
RAD51B	COSMIC
RAF1	COSMIC
RALGDS	COSMIC
RANBP2	COSMIC
RAP1GDS1	COSMIC
RARA	COSMIC
RB1	COSMIC
RBM10	COSMIC
RBM15	COSMIC
RECQL4	COSMIC
REL	COSMIC
RET	COSMIC
RFWD3	COSMIC
RGPD3	COSMIC
RGS7	COSMIC
RHOA	COSMIC
RHOH	COSMIC
RMI2	COSMIC
RNF213	COSMIC
RNF43	COSMIC
ROBO2	COSMIC
ROS1	COSMIC
RPL10	COSMIC
RPL22	COSMIC
RPL5	COSMIC
RPN1	COSMIC
RSPO2	COSMIC
RSPO3	COSMIC
RUNX1	COSMIC
RUNX1T1	COSMIC
S100A7	COSMIC
SALL4	COSMIC
SBDS	COSMIC
SDC4	COSMIC
SDHA	COSMIC
SDHAF2	COSMIC
SDHB	COSMIC
SDHC	COSMIC
SDHD	COSMIC
SEPT5	COSMIC
SEPT6	COSMIC
SEPT9	COSMIC
SET	COSMIC
SETBP1	COSMIC
SETD1B	COSMIC
SETD2	COSMIC
SETDB1	COSMIC
SF3B1	COSMIC
SFPQ	COSMIC
SFRP4	COSMIC
SGK1	COSMIC
SH2B3	COSMIC
SH3GL1	COSMIC
SIRPA	COSMIC
SIX1	COSMIC
SIX2	COSMIC
SKI	COSMIC
SLC34A2	COSMIC
SLC45A3	COSMIC
SMAD2	COSMIC
SMAD3	COSMIC
SMAD4	COSMIC
SMARCA4	COSMIC
SMARCB1	COSMIC
SMARCD1	COSMIC
SMARCE1	COSMIC
SMC1A	COSMIC
SMO	COSMIC
SND1	COSMIC
SNX29	COSMIC
SOCS1	COSMIC
SOX2	COSMIC
SOX21	COSMIC
SPECC1	COSMIC
SPEN	COSMIC
SPOP	COSMIC
SRC	COSMIC
SRGAP3	COSMIC
SRSF2	COSMIC
SRSF3	COSMIC
SS18	COSMIC
SS18L1	COSMIC
SSX1	COSMIC
SSX2	COSMIC
STAG1	COSMIC
STAG2	COSMIC
STAT3	COSMIC
STAT5B	COSMIC
STAT6	COSMIC
STIL	COSMIC
STK11	COSMIC
STRN	COSMIC
SUFU	COSMIC
SUZ12	COSMIC
SYK	COSMIC
TAL1	COSMIC
TAL2	COSMIC
TBL1XR1	COSMIC
TBX3	COSMIC
TCEA1	COSMIC
TCF12	COSMIC
TCF3	COSMIC
TCF7L2	COSMIC
TCL1A	COSMIC
TEC	COSMIC
TERT	COSMIC
TET1	COSMIC
TET2	COSMIC
TFE3	COSMIC
TFEB	COSMIC
TFG	COSMIC
TFPT	COSMIC
TFRC	COSMIC
TGFBR2	COSMIC
THRAP3	COSMIC
TLX1	COSMIC
TLX3	COSMIC
TMEM127	COSMIC
TMPRSS2	COSMIC
TNC	COSMIC
TNFAIP3	COSMIC
TNFRSF14	COSMIC
TNFRSF17	COSMIC
TOP1	COSMIC
TP53	COSMIC
TP63	COSMIC
TPM3	COSMIC
TPM4	COSMIC
TPR	COSMIC
TRAF7	COSMIC
TRIM24	COSMIC
TRIM27	COSMIC
TRIM33	COSMIC
TRIP11	COSMIC
TRRAP	COSMIC
TSC1	COSMIC
TSC2	COSMIC
TSHR	COSMIC
U2AF1	COSMIC
UBR5	COSMIC
USP44	COSMIC
USP6	COSMIC
USP8	COSMIC
VAV1	COSMIC
VHL	COSMIC
VTI1A	COSMIC
WAS	COSMIC
WHSC1	COSMIC
WHSC1L1	COSMIC
WIF1	COSMIC
WNK2	COSMIC
WRN	COSMIC
WT1	COSMIC
WWTR1	COSMIC
XPA	COSMIC
XPC	COSMIC
XPO1	COSMIC
YWHAE	COSMIC
ZBTB16	COSMIC
ZCCHC8	COSMIC
ZEB1	COSMIC
ZFHX3	COSMIC
ZMYM2	COSMIC
ZMYM3	COSMIC
ZNF331	COSMIC
ZNF384	COSMIC
ZNF429	COSMIC
ZNF479	COSMIC
ZNF521	COSMIC
ZNRF3	COSMIC
ZRSR2	COSMIC
