x	y	class
0	0	Biliary
0.00174520069808028	0.000418235048097031	Biliary
0.00917431192660551	0.00165380374862183	Biliary
0.011070110701107	0.00515463917525773	Biliary
0.0216450216450216	0.00686106346483705	Biliary
0.0255102040816327	0.00793650793650794	Biliary
0.0294117647058824	0.00970873786407767	Biliary
0.091324200913242	0.0213592233009709	Biliary
0.0987261146496815	0.0333333333333333	Biliary
0.108527131782946	0.0689655172413793	Biliary
0.177966101694915	0.083969465648855	Biliary
0.18796992481203	0.1	Biliary
0.198198198198198	0.125	Biliary
0.229007633587786	0.148148148148148	Biliary
0.243386243386243	0.2	Biliary
0.296632124352332	0.28	Biliary
0.317171717171717	0.285714285714286	Biliary
0.364661654135338	0.461538461538462	Biliary
0.427469135802469	0.583333333333333	Biliary
0.55699481865285	0.6	Biliary
0.582230623818526	0.833333333333333	Biliary
0.860045146726862	0.863636363636364	Biliary
1	0.863636363636364	Biliary
0	0	Breast
0.0112781954887218	0	Breast
0.0309446254071661	0.00102145045965271	Breast
0.0743243243243243	0.00254129606099111	Breast
0.195086705202312	0.00904159132007233	Breast
0.219257540603248	0.0444444444444444	Breast
0.246305418719212	0.1	Breast
0.272893772893773	0.111111111111111	Breast
0.339173967459324	0.155172413793103	Breast
0.359778597785978	0.166666666666667	Breast
0.366990291262136	0.25	Breast
0.433734939759036	0.269230769230769	Breast
0.501373626373626	0.666666666666667	Breast
0.525	0.705882352941177	Breast
0.533755274261603	0.888888888888889	Breast
0.643712574850299	0.945945945945946	Breast
0.685131195335277	0.948051948051948	Breast
0.68693009118541	1	Breast
1	1	Breast
0	0	Cervix
0.0119760479041916	0.000173822353554667	Cervix
0.0212264150943396	0.00763358778625954	Cervix
0.110070257611241	0.008	Cervix
0.15211970074813	0.142857142857143	Cervix
0.24	0.5	Cervix
0.263013698630137	0.5	Cervix
0.275862068965517	0.666666666666667	Cervix
0.471875	0.730769230769231	Cervix
0.541436464088398	0.75	Cervix
0.557427258805513	1	Cervix
1	1	Cervix
0	0	CNS_Glioma
0.133738601823708	0	CNS_Glioma
0.24468085106383	0.0357142857142857	CNS_Glioma
0.254580520732883	0.25	CNS_Glioma
0.316564417177914	0.3	CNS_Glioma
0.330960854092527	1	CNS_Glioma
1	1	CNS_Glioma
0	0	CNS_Medullo
0.0307941653160454	0	CNS_Medullo
0.0712328767123288	0.0022271714922049	CNS_Medullo
0.137634408602151	0.0130718954248366	CNS_Medullo
0.149253731343284	0.0909090909090909	CNS_Medullo
0.196078431372549	0.0930232558139535	CNS_Medullo
0.202295552367288	0.142857142857143	CNS_Medullo
0.231352718078382	0.25	CNS_Medullo
0.288135593220339	0.333333333333333	CNS_Medullo
0.293896713615024	0.5	CNS_Medullo
0.315994798439532	0.5	CNS_Medullo
0.385906040268456	0.571428571428571	CNS_Medullo
0.397379912663755	0.6	CNS_Medullo
0.513643659711076	0.777777777777778	CNS_Medullo
0.514032496307238	1	CNS_Medullo
1	1	CNS_Medullo
0	0	CNS_PiloAstro
0.0587529976019185	0	CNS_PiloAstro
0.117924528301887	0.0625	CNS_PiloAstro
0.135440180586907	0.222222222222222	CNS_PiloAstro
0.158088235294118	0.5	CNS_PiloAstro
0.198606271777004	0.5	CNS_PiloAstro
0.234009360374415	0.666666666666667	CNS_PiloAstro
0.308228730822873	0.769230769230769	CNS_PiloAstro
0.429530201342282	0.944444444444444	CNS_PiloAstro
0.433189655172414	1	CNS_PiloAstro
1	1	CNS_PiloAstro
0	0	Colorectal
0.00144717800289436	0.000825763831544178	Colorectal
0.0100286532951289	0.000952834683182468	Colorectal
0.014760147601476	0.00223713646532438	Colorectal
0.0372340425531915	0.00578034682080925	Colorectal
0.0780254777070064	0.0115207373271889	Colorectal
0.191358024691358	0.0310344827586207	Colorectal
0.242105263157895	0.037037037037037	Colorectal
0.259842519685039	0.0666666666666667	Colorectal
0.320185614849188	0.1	Colorectal
0.335793357933579	0.166666666666667	Colorectal
0.374161073825503	0.285714285714286	Colorectal
0.383783783783784	0.5	Colorectal
0.40234375	0.5	Colorectal
0.430868167202572	0.571428571428571	Colorectal
0.440366972477064	0.666666666666667	Colorectal
0.464285714285714	0.666666666666667	Colorectal
0.589285714285714	0.711111111111111	Colorectal
0.59825327510917	0.875	Colorectal
0.639583333333333	0.875	Colorectal
0.775100401606426	0.948275862068966	Colorectal
0.843085106382979	0.993464052287582	Colorectal
0.843283582089552	1	Colorectal
1	1	Colorectal
0	0	Gastroesophageal
0.00869565217391304	0.000573065902578797	Gastroesophageal
0.0181268882175227	0.00129366106080207	Gastroesophageal
0.0303571428571429	0.00641025641025641	Gastroesophageal
0.0417457305502846	0.00754716981132075	Gastroesophageal
0.0548672566371681	0.00995024875621891	Gastroesophageal
0.0791505791505791	0.0229357798165138	Gastroesophageal
0.101748807631161	0.0265486725663717	Gastroesophageal
0.124314442413163	0.0526315789473684	Gastroesophageal
0.133676092544987	0.0666666666666667	Gastroesophageal
0.156862745098039	0.1	Gastroesophageal
0.164404223227753	0.105263157894737	Gastroesophageal
0.173033707865169	0.117647058823529	Gastroesophageal
0.223587223587224	0.142857142857143	Gastroesophageal
0.258706467661692	0.238095238095238	Gastroesophageal
0.344	0.484848484848485	Gastroesophageal
0.436962750716332	0.657142857142857	Gastroesophageal
0.489864864864865	0.894736842105263	Gastroesophageal
0.562862669245648	0.9375	Gastroesophageal
0.564437194127243	1	Gastroesophageal
1	1	Gastroesophageal
0	0	HeadAndNeck_Other
0.00140056022408964	0.000935745477230193	HeadAndNeck_Other
